Node id 	Page Rank
3437	0.00759149
107	0.00690331
1684	0.00633091
0	0.00625325
1912	0.00384184
348	0.00233115
686	0.0022171
3980	0.00216235
414	0.00179221
698	0.00130266
483	0.00129734
3830	0.00118551
376	0.000900303
2047	0.000835993
56	0.000808324
25	0.000803082
828	0.000792255
322	0.000790007
475	0.000784239
428	0.000778476
67	0.000776683
3596	0.000771073
713	0.000751228
271	0.000750047
2313	0.000740447
563	0.000736977
119	0.000732958
3545	0.000732433
3938	0.000731573
917	0.000730638
277	0.000721693
1888	0.000719818
1800	0.000705919
3604	0.000702374
26	0.000696276
21	0.000695575
705	0.000684062
2543	0.000677595
1352	0.000676005
252	0.000673543
1663	0.000671726
2951	0.000670707
3101	0.000669707
412	0.000669118
1730	0.000668298
637	0.000666792
3291	0.000665604
1086	0.00066414
1431	0.000664099
122	0.000663633
3521	0.000662911
805	0.00065808
1783	0.000654836
3397	0.00064648
373	0.000640465
1584	0.000640178
719	0.000639117
2863	0.000635366
517	0.000635084
136	0.000634546
2347	0.000633564
3684	0.000631699
3320	0.000628486
239	0.000628302
3082	0.000624234
2742	0.000624059
2730	0.000623444
1768	0.000622234
2839	0.000620003
484	0.000618545
353	0.00061299
1199	0.000611592
3280	0.000606542
315	0.000605947
203	0.000604178
9	0.000603246
363	0.000599017
3633	0.000598631
3363	0.000596033
1085	0.000594383
200	0.000594296
747	0.000592163
1827	0.000591734
3756	0.000590437
1472	0.000590011
366	0.000585897
896	0.00058392
513	0.000583834
745	0.000580979
2384	0.000580686
3154	0.000580642
304	0.000578907
2133	0.000577965
1589	0.000576322
1277	0.000574648
553	0.000572515
1126	0.000572072
1746	0.00057074
3434	0.0005701
2754	0.000568108
824	0.000567833
3051	0.000567632
2289	0.000567134
3116	0.000563516
2716	0.000563478
3442	0.000559886
2111	0.000559713
823	0.000558545
1377	0.000557353
3948	0.000555941
3584	0.000554958
4030	0.000554272
3495	0.000553215
3838	0.000551056
1804	0.000550771
1835	0.000550478
830	0.000550171
2199	0.000548668
500	0.000548439
1390	0.000546581
1621	0.000546111
2719	0.000545316
694	0.000542951
497	0.000542433
697	0.000541226
606	0.000540118
3090	0.000539839
4023	0.000539302
1612	0.000539106
1536	0.000538977
3918	0.000538222
3793	0.000538128
2793	0.000537646
1833	0.000537338
1964	0.000536803
1941	0.000536708
3426	0.000535908
3851	0.000535248
2661	0.00053382
1559	0.000533629
1577	0.000531807
3506	0.000531675
538	0.000531142
856	0.000528135
1505	0.000527436
1718	0.000526601
2724	0.000524206
1376	0.000523628
2778	0.000523026
566	0.000522924
1714	0.000521276
559	0.000520517
2081	0.00051986
3330	0.000519608
2283	0.000519192
1707	0.000518984
580	0.000517527
1613	0.000517232
422	0.00051662
561	0.00051619
188	0.000513523
395	0.000513199
285	0.000513168
1078	0.000512924
781	0.000512428
1070	0.000512409
2328	0.000511038
3611	0.000510272
3593	0.000509811
170	0.000509657
3038	0.00050959
1399	0.000508812
1622	0.00050851
3198	0.00050843
1471	0.000507614
312	0.000507341
1610	0.000506249
3677	0.000506009
465	0.000505187
1104	0.000504645
272	0.000504277
3150	0.000503809
98	0.000503247
3256	0.000500829
1391	0.000500586
199	0.000499674
3877	0.000498698
3019	0.000498006
1235	0.000497952
40	0.000497586
3758	0.000495835
1204	0.000495805
3201	0.000495643
3680	0.000495319
2007	0.000495181
1211	0.000494601
2054	0.000494239
3076	0.000493784
2598	0.00049302
2944	0.00049134
925	0.000489597
3035	0.000489125
1551	0.000489009
2333	0.000488731
3002	0.00048864
2117	0.000486696
946	0.000485877
280	0.000485684
1813	0.00048469
2966	0.000482085
567	0.000481403
3152	0.000480308
1591	0.000480137
1703	0.000479688
1367	0.000479271
3906	0.000479234
332	0.000477951
2087	0.00047786
3577	0.000477114
